aeid,aename,date,aeno,acid,acname,asid
M97794,,,,C13398,チューチュー タコになった山田さん,C4332
M97822,,,,C13406,Mnemosyne ―ムネモシュネの娘たち─[アナザー],C3333
M97851,,,,C13425,PERSONA ―― trinity soul ――[総集編],C3321
M97853,,,,C13427,機動戦士ガンダム00 [総集編] [天使たちの軌跡],C3257
M97938,,,,C13437,THE SIMPSONS[第16期],C4338
M97954,,,,C13443,マリー＆ガリー[第0話],C4340
M97998,,,,C13451,LOVE Rollercoaster,C4343
M98009,,,,C13455,すばらしい世界旅行 恐竜王国の興亡［第二期］,C1501
M98200,,,,C13479,カルルとふしぎな塔,C4418
M98453,,,,C13516,ひつじのショーン,C4433
M98588,"・第1話/アイアンマン、来日,・第2話/消えた核を追え,・第3話/蘇るプロジェクト,・第4話/再会,・第5話/アークステーション、感染,・第6話/電脳戦線,・第7話/脱出,・第8話/少女",,,C13532,IRON MAN-アイアンマン-,C3643
M98750,,,,C13543,未来からきた少年 スーパージェッター（カラー版）,C1023
M98804,"・第1話/その男、ブレイド,・第2話/狂った世界,・第3話/ヴァンパイア・ハンター,・第4話/少年の日々,・第5話/光る島,・第6話/魔法医の男,・第7話/デイ・ウォーカーとミュータント,・第8話/永遠の黙示録,・第9話/師弟の絆,・第10話/慟哭の渦へ",,,C13551,BLADE,C4470
M99147,"・1/いちばん大変だったのは…（2003/10/4）,・2/秋空の下で（2003/10/11）,・3/ロングロード（2003/10/18）,・4/心に傘を（2003/10/25）,・5/バスの中での出来事（2003/11/1）,・6/かっこいいじゃん（2003/11/8）,・7/忘れ物（2003/11/15）,・8/チョコレート（2003/11/22）,・9/温かなひとかけら（2003/11/29）,・10/サンタがやってきた（2003/12/6）<B",,,C13562,感動紙芝居 優しさ便り,C4479
M99149,　　　　,,,C13564,しゅごキャラ! パーティー!,C3258
M99698,,,,C13597,30歳の保健体育,C4510
M99700,,,,C13599,47都道府犬,C4511
M99728,,,,C13605,BS世界の ドキュメンタリー 月明かりの中の希望 ～XP症 子どもたちのひと夏～,C4514
M101399,#05　学園の七不思議,,5,C13637,とびだせ! 土管 くん,C4277
M101400,#06　競技離婚,,6,C13637,とびだせ! 土管 くん,C4277
M101401,#07　鍋ストーリーは突然に,,7,C13637,とびだせ! 土管 くん,C4277
M101402,#08　迷子の大人たち,,8,C13637,とびだせ! 土管 くん,C4277
M101403,#09　夜鳴きそばだよ全員集合!,,9,C13637,とびだせ! 土管 くん,C4277
M101404,#10　ドロケーフェスティバル2012,,10,C13637,とびだせ! 土管 くん,C4277
M101405,#11　ナシゴレン,,11,C13637,とびだせ! 土管 くん,C4277
M101406,#12　バレーボール,,12,C13637,とびだせ! 土管 くん,C4277
M101407,#13　イカロスのように,,13,C13637,とびだせ! 土管 くん,C4277
M101408,#14　操縦するものたちへ,,14,C13637,とびだせ! 土管 くん,C4277
M101409,#15　さらば土管くん,,15,C13637,とびだせ! 土管 くん,C4277
M100234,,,,C13660,アニメ じゃん! 「とびだせ !! ヒロイン!」,C4236
M100288,,,,C13671,えいごふだ,C4533
M100551,ギャラクターの　極秘ミーティング　ふたたび!　の巻（2/27）　,,206,C13675,おはよう忍者隊 ガッチャマン,C2623
M100903,,,,C13681,キズナ 一撃,C4537
M101695,,,,C13744,のらのらの～ら,C4553
M102275,,,,C13805,モンハン 日記 ぎりぎり アイルー村 G,C4441
M102734,　　　　,,,C13836,週刊シマコー,C4582
M102736,　　　　,,,C13838,その時、シマコーが動いた!,C4582
M102920,,,,C13867,殿といっしょ -眼帯の野望-,C3703
M103144,,,,C13881,万能野菜 ニンニンマン,C4598
M103220,,,,C13889,キリン名曲ロマン劇場 さすらいの少女ネル,C4648
M103222,,,,C13891,キリン名曲ロマン劇場 金髪のジェニー,C4648
M103224,,,,C13893,キリン名曲ロマン劇場 巴里のイザベル,C4648
M103226,,,,C13895,キリン名曲ロマン劇場 野ばらのジュリー,C4648
M103228,"・第1話/2034年5月21日午前9時14分,・第2話/2034年6月1日午後12時13分,・第3話/2034年4月9日午前10時32分,・第4話/2034年6月22日午後8時0分,・第5話/2034年6月23日午後6時46分,・第6話/2034年6月1日午後12時20分,・第7話/2034年12月2日午後2時35分",,,C13897,こぴはん,C4649
M103230,"・＃01/サミー、モンスターに会う,・＃02/ステファニーと女王様,・＃03/ハリーと幽霊城,・＃04/コリンはお風呂嫌い,・＃05/サミーがテイクオフ!?,・＃06/道に迷ったアーノルド,・＃07/ステファニーのでこぼこな一日,・＃08/サミーのスクールラン,・＃09/水もしたたるステファニー,・＃10/スーザンが行方不明,・＃11/アーノルドの災難,・＃12/サンタが街にやってくる,・＃13/雪の日のサミー,・＃14/冬のエ",,,C13899,ビジーバス Busy Buses,C4652
M103452,,,,C13911,トータル・イクリプス,C4660
M103637,　　　　,,,C13921,ガムガムパンチ,C4663
M103639,"・第1話/とっとこ登場!ハム太郎（2011/04/02）※とっとこハム太郎第1話,・第2話/とっとこ作るよ!地下ハウス（2011/04/09）※とっとこハム太郎第2話,・第3話/とっとこ集まれ!ハムちゃんず（2011/04/16）※とっとこハム太郎第3話,・第4話/とっとこ飛び出せ!リボンちゃん（2011/04/23）※とっとこハム太郎第4話,・第5話/とっとこ踊るよ!トラハムちゃん（2011/04/30）※とっとこハム太郎第13話,・第6話/とっとこさがすぞ!トラハ",,,C13923,ハム太郎でちゅ,C2341
M103945,,,,C13986,BUTA,C4674
M103947,,,,C13988,わすれなぐも,C4675
M103949,,,,C13990,ぷかぷか　ジュジュ,C4676
M103962,本日の議題　今日は桜田くんから　相談があるそうです。（6/19・12/1）,,12,C13992,ガッ活!,C4677
M103963,本日の議題　昨今のティラノサウルスの　体たらくについて（6/26・12/1）,,13,C13992,ガッ活!,C4677
M103964,本日の議題　田中くんが　改札でまごついて困ります。（7/3・12/1）,,14,C13992,ガッ活!,C4677
M103965,本日の議題　ニックネームで　呼び合おう!（7/10・12/1）,,15,C13992,ガッ活!,C4677
M103966,本日の議題　幽霊っていると思う?（7/17・1/23）,,16,C13992,ガッ活!,C4677
M103967,[本日の議題]　なんで犬は　呼んでもいないのに　教室に侵入してくるの?（7/24・1/30）,,17,C13992,ガッ活!,C4677
M103968,本日の議題　夏が暑い件について（7/31・2/6）,,18,C13992,ガッ活!,C4677
M103969,本日の議題　最後の一個の　処遇について（8/7・2/13）,,19,C13992,ガッ活!,C4677
M103970,本日の議題　酢豚のパイナップルを　おいしくいただくには（8/14・2/20）,,20,C13992,ガッ活!,C4677
M103971,本日の議題　うちのクラスに　遅刻の常習者がいます（8/21・2/27）,,21,C13992,ガッ活!,C4677
M103972,本日の議題　お年寄りに　席をゆずれません（8/28・3/6）,,22,C13992,ガッ活!,C4677
M103973,本日の議題　いらないホクロを　どうにかしたい（9/4・3/13）,,23,C13992,ガッ活!,C4677
M103974,本日の議題　意志の力について（9/11・3/20）,,24,C13992,ガッ活!,C4677
M103975,本日の議題　自習（9/18・3/27）,,25,C13992,ガッ活!,C4677
M103978,,,,C13995,しらんぷり,C4139
M103980,,,,C13997,猫の棲む島,C4679
M104151,,,,C14005,ドロンコロン,C4684
M105663,,,,C14050,猫物語[ネコモノガタリ] 黒,C3542
M105664,,,,C14051,モグラのアバンチュール,C5174
M105666,,,,C14053,みんなのうた「誰も知らない」,C5204
M105668,,,,C14055,みんなのうた「三匹の蜂」,C5204
M105670,,,,C14057,みんなのうた「クィクヮィマニマニ」,C5204
M105672,,,,C14059,みんなのうた「トンピリビ」,C5204
M105674,,,,C14061,みんなのうた「まね」,C5204
M105676,,,,C14063,みんなのうた「プンプンポルカ」,C5204
M105678,,,,C14065,みんなのうた「熊ちゃんのピクニック」,C5204
M105680,,,,C14067,みんなのうた「コンピンピンの歌」,C5204
M105682,,,,C14069,みんなのうた「へのへのもへじ」,C5204
M105684,,,,C14071,みんなのうた「日本語のおけいこ」,C5204
M105686,,,,C14073,みんなのうた「赤鼻のトナカイ」,C5204
M105688,,,,C14075,みんなのうた「たなをつくりましょう」,C5204
M105690,,,,C14077,みんなのうた「掲示板のうた」,C5204
M104694,,,,C14090,約束の命,C4709
M104700,,,,C14094,釜石の　“奇跡“　いのちを守る特別授業,C4713
M105258,,,,C14148,ルパン三世 東方見聞録 アナザーページ,C2445
M105275,,,,C14152,一発必中!!　デバンダー,C4741
M105277,探偵オペラ　ミルキィホームズ　Alternative ONE　小林オペラと5枚の絵画　ミルキィホームズ　　[サマースペシャル],,,C14153,探偵オペラ　ミルキィホームズ　Alternative ONE　小林オペラと5枚の絵画　ミルキィホームズ　　[サマースペシャル],C4420
M105888,,,,C14181,みんなのうた「みどりいろの翼」,C5204
M105890,,,,C14183,みんなのうた「五年生」,C5204
M105892,,,,C14185,みんなのうた「山寺の和尚さん」,C5204
M105894,,,,C14187,みんなのうた「みんみんぜみの歌」,C5204
M105896,,,,C14189,みんなのうた「ぶんぬけた」,C5204
M105898,,,,C14191,みんなのうた「牧場の朝」,C5204
M105900,,,,C14193,みんなのうた「じゃがいも」,C5204
M105902,,,,C14195,みんなのうた「あだなのうた」,C5204
M105904,,,,C14197,みんなのうた「ぶたが逃げた」,C5204
M105906,,,,C14199,みんなのうた「ずいずいずっころばし」,C5204
M105908,,,,C14201,みんなのうた「おかあさんの歌」,C5204
M105910,,,,C14203,みんなのうた「雪になりたい」,C5204
M105912,,,,C14205,みんなのうた「いもうとはおなかがいたいんだ」,C5204
M105914,,,,C14207,みんなのうた「るんるんこな雪が」,C5204
M105916,,,,C14209,みんなのうた「鬼のねがい」,C5204
M105918,,,,C14211,みんなのうた「ついてないときの歌」,C5204
M105920,,,,C14213,みんなのうた「44ひきのねこ」,C5204
M105922,,,,C14215,みんなのうた「風のうた」,C5204
M105924,,,,C14217,みんなのうた「イナレオタ～さかだちのうた～」,C5204
M105926,,,,C14219,みんなのうた「あそぼうよ」,C5204
M105928,,,,C14221,みんなのうた「星のヨーデル」,C5204
M105930,,,,C14223,みんなのうた「村は麦刈り」,C5204
M105932,,,,C14225,みんなのうた「だれもいない海」,C5204
M105934,,,,C14227,みんなのうた「みどりの牧場で」,C5204
M105936,,,,C14229,みんなのうた「けんかの歌」,C5204
M105938,,,,C14231,みんなのうた「うちのネコぼくのネコ」,C5204
M105940,,,,C14233,みんなのうた「木の葉くん」,C5204
M105942,,,,C14235,みんなのうた「小さな船乗り」,C5204
M105944,,,,C14237,みんなのうた「ラッパと少年」,C5204
M105946,,,,C14239,みんなのうた「パンのマーチ」,C5204
M105948,,,,C14241,みんなのうた「あしたに賭ける数え歌」,C5204
M105950,,,,C14243,みんなのうた「ケルンもつもう」,C5204
M105952,,,,C14245,みんなのうた「雲はのんのん～熊の子たちの子守歌～」,C5204
M105954,,,,C14247,みんなのうた「ぼくのバレンタインデー」,C5204
M105956,,,,C14249,みんなのうた「おじいちゃんの子守唄」,C5204
M105994,,,,C14262,みんなのうた「たのしいさんすう」,C5204
M105996,,,,C14264,みんなのうた「お誕生日おめでとう」,C5204
M105998,,,,C14266,みんなのうた「宇宙はたのしいフェスティバル」,C5204
M106000,,,,C14268,みんなのうた「アリスの季節」,C5204
M106002,,,,C14270,みんなのうた「JOY（よろこびの国）」,C5204
M106004,,,,C14272,みんなのうた「おじいちゃんていいな」,C5204
M106006,,,,C14274,みんなのうた「サボテンがにくい」,C5204
M106008,,,,C14276,みんなのうた「転校生は宇宙人」,C5204
M106010,,,,C14278,みんなのうた「青空とタップダンス」,C5204
M105692,,,,C14285,みんなのうた「きれいな帽子」,C5204
M105694,,,,C14287,みんなのうた「ピノキオ」,C5204
M105696,,,,C14289,みんなのうた「もしぼくが」,C5204
M105698,,,,C14291,みんなのうた「大きな古時計」,C5204
M105700,,,,C14293,みんなのうた「気のいいあひる」,C5204
M105702,,,,C14295,みんなのうた「アイスクリームの歌」,C5204
M105704,,,,C14297,みんなのうた「一、二、三・・・・」,C5204
M105706,,,,C14299,みんなのうた「アップアップアップリケ」,C5204
M105708,,,,C14301,みんなのうた「おなかのへるうた」,C5204
M105710,,,,C14303,みんなのうた「カラスの歌」,C5204
M105712,,,,C14305,みんなのうた「デビークロケットの歌」,C5204
M105714,,,,C14307,みんなのうた「サンタはどこにいる?」,C5204
M105716,,,,C14309,みんなのうた「わらいかわせみに話すなよ」,C5204
M105718,,,,C14311,みんなのうた「駅馬車」,C5204
M105720,,,,C14313,みんなのうた「ビビディバビディブー」,C5204
M105722,,,,C14315,みんなのうた「雨の遊園地」,C5204
M105724,,,,C14317,みんなのうた「クラリネットをこわしちゃった」,C5204
M105726,,,,C14319,みんなのうた「ちいさな靴屋さん」,C5204
M105728,,,,C14321,みんなのうた「一週間」,C5204
M105730,,,,C14323,みんなのうた「春のロンド」,C5204
M105732,,,,C14325,みんなのうた「バナナを食べる時の歌」,C5204
M105734,,,,C14327,みんなのうた「キャンプ料理」,C5204
M105736,,,,C14329,みんなのうた「こねこの病気」,C5204
M105738,,,,C14331,みんなのうた「ミシェルおばさん」,C5204
M105740,,,,C14333,みんなのうた「トンチあそび」,C5204
M105742,,,,C14335,みんなのうた「木曽節」,C5204
M105744,,,,C14337,みんなのうた「黒い瞳の女の子」,C5204
M105746,,,,C14339,みんなのうた「ドロップスの歌」,C5204
M105748,,,,C14341,みんなのうた「お猿と鐘」,C5204
M105750,,,,C14343,みんなのうた「お江戸日本橋」,C5204
M105752,,,,C14345,みんなのうた「サンタクロースにプレゼント」,C5204
M105754,,,,C14347,みんなのうた「ひげのお医者さん」,C5204
M105756,,,,C14349,みんなのうた「でかちびのっぽ」,C5204
M105758,,,,C14351,みんなのうた「山の音楽家」,C5204
M105760,,,,C14353,みんなのうた「ぎらぎらとひょろひょろとちかちか」,C5204
M105762,,,,C14355,みんなのうた「ほがらか村長さん」,C5204
M105764,,,,C14357,みんなのうた「ドミニク」,C5204
M105766,,,,C14359,みんなのうた「うそなんかいうもんか」,C5204
M105768,,,,C14361,みんなのうた「蛙」,C5204
M105770,,,,C14363,みんなのうた「コックのポルカ」,C5204
M105772,,,,C14365,みんなのうた「ママごめんなさい」,C5204
M105774,,,,C14367,みんなのうた「五匹のこぶたとチャールストン」,C5204
M105776,,,,C14369,みんなのうた「野原で手をたたけ」,C5204
M105778,,,,C14371,みんなのうた「フルーツサラダの歌 Salada de Fruits」,C5204
M105780,,,,C14373,みんなのうた「朝一番早いのは」,C5204
M105782,,,,C14375,みんなのうた「つむじ風」,C5204
M105784,,,,C14377,みんなのうた「木ぐつはいて」,C5204
M105786,,,,C14379,みんなのうた「陽気にうたえば」,C5204
M105788,,,,C14381,みんなのうた「たのしいね」,C5204
M105790,,,,C14383,みんなのうた「お馬にのって」,C5204
M105792,,,,C14385,みんなのうた「焼き栗」,C5204
M105794,,,,C14387,みんなのうた「A.A.B.C」,C5204
M105796,,,,C14389,みんなのうた「はさみとぎ」,C5204
M105798,,,,C14391,みんなのうた「いいやつみつけた!」,C5204
M105800,,,,C14393,みんなのうた「レロンレロンシンタ」,C5204
M105802,,,,C14395,みんなのうた「ガチャガチャバンド」,C5204
M105804,,,,C14397,みんなのうた「フリッパー」,C5204
M105806,,,,C14399,みんなのうた「トム・ビリビ」,C5204
M105808,,,,C14401,みんなのうた「赤とんぼ」,C5204
M105810,,,,C14403,みんなのうた「すてきな夢を」,C5204
M105812,,,,C14405,みんなのうた「小さなカレンダー」,C5204
M105814,,,,C14407,みんなのうた「ペチカ」,C5204
M105816,,,,C14409,みんなのうた「早口ことば」,C5204
M105818,,,,C14411,みんなのうた「ピエロのトランペット」,C5204
M105820,,,,C14413,みんなのうた「学校へ行く道」,C5204
M105822,,,,C14415,みんなのうた「トトトのうた」,C5204
M105824,,,,C14417,みんなのうた「ドナドナ」,C5204
M105826,,,,C14419,みんなのうた「あわて床屋」,C5204
M105828,,,,C14421,みんなのうた「～メリーポピンズより～チム・チム・チェリー」,C5204
M105830,,,,C14423,みんなのうた「おんぼろピアノ」,C5204
M105832,,,,C14425,みんなのうた「五ひきのカエル」,C5204
M105834,,,,C14427,みんなのうた「お化けなんてないさ」,C5204
M105836,,,,C14429,みんなのうた「ほたるこい」,C5204
M105838,,,,C14431,みんなのうた「ひなげし」,C5204
M105840,,,,C14433,みんなのうた「ちびっこカウボーイ」,C5204
M105842,,,,C14435,みんなのうた「ママとゴーゴー」,C5204
M105844,,,,C14437,みんなのうた「とっくりやしの木」,C5204
M105846,,,,C14439,みんなのうた「からすと柿のたね」,C5204
M105848,,,,C14441,みんなのうた「ねこふんじゃった」,C5204
M105850,,,,C14443,みんなのうた「ジロマジトンド・ジロトンド」,C5204
M105852,,,,C14445,みんなのうた「雪のふるまちを」,C5204
M105854,,,,C14447,みんなのうた「がちょうのおばさん～ジェルソミナおばさん～」,C5204
M105856,,,,C14449,みんなのうた「かあさんはいそがしい」,C5204
M105858,,,,C14451,みんなのうた「Snow White and Seven Dwarfsより こびとの歌」,C5204
M105860,,,,C14453,みんなのうた「気のいいあひる」,C5204
M105862,,,,C14455,みんなのうた「お山の大将」,C5204
M105864,,,,C14457,みんなのうた「四人目の王さま」,C5204
M105866,,,,C14459,みんなのうた「まきばのこうし」,C5204
M105868,,,,C14461,みんなのうた「森の教会」,C5204
M105870,,,,C14463,みんなのうた「怪獣がやってくる」,C5204
M105872,,,,C14465,みんなのうた「えんぴつが一本」,C5204
M105874,,,,C14467,みんなのうた「もえあがれ雪たち」,C5204
M105876,,,,C14469,みんなのうた「父さんのポンチョ」,C5204
M105878,,,,C14471,みんなのうた「ちんちんちどり」,C5204
M105880,,,,C14473,みんなのうた「何かいいことあるらしい」,C5204
M105882,,,,C14475,みんなのうた「パパのバイオリン」,C5204
M105884,,,,C14477,みんなのうた「アマリリス」,C5204
M105886,,,,C14479,みんなのうた「たあんきぼーんき」,C5204
M105958,,,,C14481,みんなのうた「風のオルガン」,C5204
M105960,,,,C14483,みんなのうた「ふりむけばカエル」,C5204
M105962,,,,C14485,みんなのうた「勇気をだして」,C5204
M105964,,,,C14487,みんなのうた「カボチャのおじさん」,C5204
M105966,,,,C14489,みんなのうた「神父さんのパイプオルガン」,C5204
M105968,,,,C14491,みんなのうた「雲が晴れたら」,C5204
M105970,,,,C14493,みんなのうた「おはようクレヨン」,C5204
M105972,,,,C14495,みんなのうた「ショボクジラ・チビコブラ」,C5204
M105974,,,,C14497,みんなのうた「バナナ村に雨がふる」,C5204
M105976,,,,C14499,みんなのうた「いじわる天気」,C5204
M105978,,,,C14501,みんなのうた「お兄ちゃんずるい」,C5204
M105980,,,,C14503,みんなのうた「ゆうやけ星」,C5204
M105982,,,,C14505,みんなのうた「くまのぬいぐるみ」,C5204
M105984,,,,C14507,みんなのうた「ちゃんと顔に書いてある」,C5204
M105986,,,,C14509,みんなのうた「にが虫おじさん」,C5204
M105988,,,,C14511,みんなのうた「は・じ・め・て」,C5204
M105990,,,,C14513,みんなのうた「いろはまつり」,C5204
M105992,,,,C14515,みんなのうた「ジャングル・ダンス」,C5204
M106012,,,,C14517,みんなのうた「あいこでしょ」,C5204
M106014,,,,C14519,みんなのうた「夕焼け貝がら」,C5204
M106016,,,,C14521,滝田ゆう 落語劇場,C5205
M106018,,,,C14523,おにいさまへ…［総集編］,C1187
M108158,のこりゆで　おせんたく（9/18,,21,C14544,Sebatan　[第2期],C5519
M108171,ハロウィン（10/30）　,,27,C14545,Sebatan　[第3期],C5519
M108172,がくげいかい（11/6）　,,28,C14545,Sebatan　[第3期],C5519
M108173,ぎゅうにゅうパック（11/13）　,,29,C14545,Sebatan　[第3期],C5519
M108174,アイススケート（11/20）　,,30,C14545,Sebatan　[第3期],C5519
M108180,,,,C14546,空のとびかた,C5520
M108463,研究員No.033　真田 アサミ（1/20）,,33,C14555,[アドリブアニメ],C5531
M108464,[今日はかと*ふくから大事なお知らせと今までをふりかえる総集編!]（3/31）アニメコーナーの,,38,C14555,[アドリブアニメ],C5531
M106230,,,,C14563,アルビンとチップマンクス わんぱく3人組の受難,C5339
M106305,[目覚めよ!コンボック]（10/6～10/10）,,1,C14568,さいころボット コンボック,C5343
M106306,[オレの友だち、コンボック]（10/13～10/17）,,2,C14568,さいころボット コンボック,C5343
M106307,[地下で事件だ!コンボック]（10/20～10/24）,,3,C14568,さいころボット コンボック,C5343
M106308,[御食事はドンドンだって!コンボック]（10/27～10/31）,,4,C14568,さいころボット コンボック,C5343
M106309,[火事だ火消しだ!コンボック]（11/3～11/7）,,5,C14568,さいころボット コンボック,C5343
M106310,[チョー大型台風だぞ!コンボック]（11/10～11/）,,6,C14568,さいころボット コンボック,C5343
M106311,[マグピョンを助けろ!コンボック]（11/17～11/21）,,7,C14568,さいころボット コンボック,C5343
M106312,[ロボット墓場の秘密を暴け!コンボック]（11/24～11/28）,,8,C14568,さいころボット コンボック,C5343
M106313,[クリスタニウムの捜索だ!コンボック]（12/1～12/5）,,9,C14568,さいころボット コンボック,C5343
M106314,[気をつけろ!コンボック]（12/8～12/12）,,10,C14568,さいころボット コンボック,C5343
M106315,[よみがえれ!コンボック]（12/15～12/19）,,11,C14568,さいころボット コンボック,C5343
M106316,[死ぬな、友だち!コンボック]（12/22～12/26）,,12,C14568,さいころボット コンボック,C5343
M106317,[コンボック、ネズミ退治だ!]（1/5～1/9）,,13,C14568,さいころボット コンボック,C5343
M106318,[コンボック、タクミネーターの暴走を止めろ!]（1/12～1/16）,,14,C14568,さいころボット コンボック,C5343
M106319,[コンボック、遊園地を守れ!]（1/19～1/23）,,15,C14568,さいころボット コンボック,C5343
M106320,[コンボック、ボールゲームの勇者となれ!]（1/26～1/30）,,16,C14568,さいころボット コンボック,C5343
M106321,[コンボック、ロボット博が狙われた!]（2/2～2/6）,,17,C14568,さいころボット コンボック,C5343
M106322,[コンボック、嵐を呼ぶ凧上げ大会だ!]（2/9～2/13）,,18,C14568,さいころボット コンボック,C5343
M106323,[コンボック、お前も夢を見るのか?]（2/16～2/20）,,19,C14568,さいころボット コンボック,C5343
M106324,[コンボック、サーカス団が怪しいぞ!]（2/23～2/27）,,20,C14568,さいころボット コンボック,C5343
M106325,[コンボック、プロフェッサーKって…!]（3/1～3/5）,,21,C14568,さいころボット コンボック,C5343
M106326,[コンボック、ハイパワーアップだ!]（3/8～3/12）,,22,C14568,さいころボット コンボック,C5343
M106327,[コンボック、ヤバいよ!]（3/15～3/19）,,23,C14568,さいころボット コンボック,C5343
M106328,[コンボック、君は永遠の友だち!]（3/22～3/26）,,24,C14568,さいころボット コンボック,C5343
M106329,[恐れていたプロフェッサーKの逆襲!]（3/29～4/2）,,25,C14568,さいころボット コンボック,C5343
M106613,,,,C14578,渋染一揆--明日に架ける虹--,C5352
M106970,,,,C14592,川の光,C5451
M107126,,,,C14598,ストローザウルスネオ,C5457
M107245,,,,C14608,とうめい人間X,C5465
M107247,公衆電話ロボの昔話（3/28）,,2,C14609,土管くん アナザーストーリー,C4277
M107248,,,,C14610,ときどきアニメ,C3148
M107249,,,,C14611,ときどき アニメ スペースゴルフ,C3148
M107266,,,,C14613,-2029年 東京-,C5466
M107888,まいんの大冒険スペシャル!　宮城県のおいしいもので　スペシャルどんぶり!!（10/11～10/15）,,S4,C14637,クッキンアイドル アイ!マイ! まいん![第2期],C3495
M107988,,,,C14639,ケシカス くん,C5509
M108005,,,,C14642,GO!GO!　ムッチーヒーロー!!,C5513
M108032,,,,C14644,故事成語,C5515
M108088,『ヴィヨンの妻』太宰治（3/30～4/2・4/6～4/9）,,51,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108089,『雁』 森鴎*外（4/13～4/16・4/20～4/23）,,52,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108090,『少女地獄』 夢野久作（4/27～4/30・5/4～5/7）,,53,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108091,『病牀六尺』 正岡子規（5/11～5/14・5/18～5/21）,,54,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108092,『道草』 夏目漱石（6/1～6/4・6/8～6/11）,,55,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108093,『墨*東綺譚』 永井荷風（6/15～6/18・6/22～6/25）,,56,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108094,『下駄で歩いた巴里』 林芙美子（6/29～7/2・7/6～7/9）,,57,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108095,『風立ちぬ』 堀辰雄（7/13～7/16・7/20～7/23）,,58,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108096,『高野聖』 泉鏡花（8/3～8/6・8/10～8/13）,,63,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108097,『にごりえ』 樋口一葉（8/17～8/20・8/23～8/26）,,64,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108098,『一握の砂』 石川啄木（8/31～9/3・9/7～9/10）,,65,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M108099,『地獄変』 芥川龍之介（9/14～9/17・9/21～9/24）,,66,C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516
M115647,,,,C14650,DEVIL SURVIVOR2 THE ANIMATION,C5654
M115419,[ダイジュウサンワ]（5下旬）,,13,C14664,直球表題 ロボットアニメ,C5648
M117195,,,,C14672,リトル ウィッチ アカデミア,C5699
M108580,,,,C14674,うごく えほん[第1期],C5532
M108674,,,,C14680,きょうの料理 ビギナーズ[第5期],C4287
M108683,,,,C14682,SOUL・EATER　リピートショー[OP・EDのみ新規],C3362
M108753,,,,C14686,とびだせ! ABC星人,C5537
M108893,,,,C14690,Peeping Life[第4期],C4342
M108963,,,,C14694,ゆとりちゃん,C4644
M109194,,,,C14700,いない いない ばあっ![第17期],C4102
M109900,「バンド名」,,833,C14708,紙兎 ロペ 笑う朝には福来たるって マジっすか!?,C4698
M110537,,,,C14715,きょうの料理 ビギナーズ[第6期],C4287
M110910,ふたりの　おひめさま（11/18）※歌データまだ,,85,C14727,しまじろうのわお!,C1497
M115495,,,,C14754,デス・ビリヤード,C5653
M111722,,,,C14766,DiSNEy　スティッチと　砂の惑星,C3429
M111899,,,,C14771,HIGH SCORE,C5574
M111942,てれてれとあめあめ（10/5）　バラの兄貴（10/5 ）,,185,C14774,はなかっぱ[第3期],C3640
M113580,リトル・チャロ　東北編　スペシャル　神宿る里へ（3/25・4/1）,,S1,C14797,リトル・チャロ　～東北編～,C3339
M113594,,,,C14798,ルパン三世　血の刻印　永遠のmermaid,C2445
M113688,,,,C14805,アルヴ・レズル　-機械仕掛けの妖精たち-,C5592
M113702,,,,C14807,いない　いない　ばあっ![第18期],C4102
M113771,53*　毛皮の森（12/13・2/15）,,53,C14811,ウサビッチ[第5期],C4313
M114316,,,,C14823,がんばれ!!　貞子ちゃん　THE 3D ANIMATION,C5608
M114624,,,,C14838,gdgd 妖精s ぐだぐだフェアリーーズ,C4519
M114663,,,,C14841,古事記ガール 日向路を旅する[実写併用],C5624
M115305,,,,C14874,探偵オペラ ミルキィホームズ Alternative TWO 小林オペラと虚空の大鴉,C4420
M115981,,,,C14876,爆獣合神　ジグルハゼル,C5661
M116058,,,,C14880,長谷川町子物語　～サザエさんが生まれた日～,C1945
M116085,,,,C14883,80年後の賢治,C5664
M116147,,,,C14886,花は咲く,C5665
M117020,,,,C14926,よりそう,C5693
M117134,,,,C14930,LINE OFFLINE サラリーマン,C5695
M117243,,,,C14935,龍 -RYO-,C5701
M117244,,,,C14936,ルパン三世　princess of the breeze　～隠された空中都市～,C2445
M117298,,,,C14940,ワラッチャオ!,C5704
M121003,,,,C14959,みんなのうた「「手紙 ～拝啓十五の君へ～」,C5204
M121004,,,,C14960,みんなのうた「べいびーろっく ～BABY ROCK～」,C5204
M121005,,,,C14961,みんなのうた「アロハえだまめ」,C5204
