acid,acname,asid,n_ae,first_date,last_date
C11778,無限の住人BLADEOF THE IMMORTAL,C3386,13,2008-07-14,2008-12-29
C11780,いじいじくん,C3387,20,2008-07-21,2008-08-15
C11782,セキレイ,C3388,12,2008-07-02,2008-09-17
C11784,スレイヤーズREVOLUTION,C1751,13,2008-07-03,2008-09-25
C11786,魔法遣いに大切なこと～夏のソラ～,C2696,12,2008-07-03,2008-09-25
C11788,ストライクウィッチーズ,C3289,12,2008-07-04,2008-09-19
C11790,西洋骨董洋菓子店～アンティーク～,C3389,12,2008-07-04,2008-09-19
C11792,ひだまりスケッチ×365,C3146,13,2008-07-04,2008-09-26
C11794,鉄腕バーディーDECODE,C1951,13,2008-07-05,2008-09-27
C11796,薬師寺涼子の怪奇事件簿,C3391,13,2008-07-06,2008-09-28
C11798,Neo Angelique Abyss Second Age,C2427,13,2008-07-07,2008-09-29
C11800,夏目友人帳,C3392,14,2008-07-08,2008-09-30
C11802,乃木坂春香の秘密,C3393,13,2008-07-04,2008-09-30
C11810,バトルスピリッツ少年突破バシン,C3397,50,2008-09-07,2009-09-06
C11812,のらみみ2,C3327,12,2008-10-02,2008-12-18
C11814,開運 大便小僧,C4329,26,2008-10-04,2009-03-28
C11816,熱走!亀1グランプリ,C3398,13,2008-10-04,2008-12-27
C11818,ネットミラクルショッピング[第1期],C3399,7,2008-12-06,2009-03-15
C11820,カン・ゴローの四字熟語な生活,C3400,22,2008-10-05,2009-03-01
C11822,絶対やれるギリシャ神話,C3402,13,2008-10-05,2008-12-28
C11824,黒塚 KUROZUKA,C3403,13,2008-09-30,2008-12-23
C11826,純愛コスメティックアニメ美肌一族,C3404,12,2008-10-07,2008-12-23
C11828,魍魎の匣,C3405,13,2008-10-08,2008-12-31
C11830,"ONE OUTS Nobody wins,but I!",C3406,25,2008-10-08,2009-04-01
C11832,カオス;ヘッド,C3407,12,2008-10-15,2008-12-31
C11834,ねぎぼうずのあさたろう,C3408,48,2008-10-12,2009-09-27
C11838,キャシャーンSins,C2856,24,2008-10-02,2009-03-16
C11840,屍姫赫,C3411,13,2008-10-02,2008-12-25
C11842,とらドラ!,C3413,25,2008-10-02,2009-03-26
C11844,ヒャッコ,C3414,13,2008-10-02,2008-12-25
C11846,ロザリオとバンパイア CAPU 2[チュ～]❤,C3328,13,2008-10-02,2008-12-25
C11848,あかね色に染まる坂,C3415,12,2008-10-03,2008-12-19
C11850,CLANNAD ～AFTER STORY～,C3235,24,2008-10-03,2009-03-27
C11852,黒執事,C3416,26,2008-09-26,2009-03-27
C11854,TALES OF THE ABYSS,C2453,26,2008-10-05,2009-03-29
C11856,北斗の拳 ラオウ外伝 天の覇王,,13,2008-10-03,2008-12-26
C11858,夜桜四重奏[カルテット],C3417,12,2008-10-03,2008-12-19
C11860,かんなぎCrazy Shrine Maidens,C3418,13,2008-10-04,2008-12-27
C11862,鉄のラインバレル,C3419,24,2008-10-04,2009-03-21
C11864,地獄少女 三鼎,C3061,27,2008-09-27,2009-04-04
C11866,しゅごキャラ!! どきっ,C3258,51,2008-10-04,2009-09-26
C11868,TYTANIA,C3431,26,2008-10-09,2009-03-26
C11871,DARKER THAN BLACK 流星の双子,C3189,12,2009-10-09,2009-12-25
C11873,はなまる 幼稚園,C3637,12,2010-01-11,2010-03-29
C11875,刀語[カタナガタリ],C3638,12,2010-01-26,2010-12-11
C11877,ハートキャッチプリキュア!,C2833,49,2010-02-07,2011-01-30
C11879,ミチコとハッチン,C3433,22,2008-10-16,2009-03-19
C11881,お茶犬緑[リョク]っとものがたり,C2759,13,2008-11-22,2009-02-21
C11883,おねがい!ポクポン,C3437,13,2008-11-22,2009-02-21
C11887,聖闘士星矢冥王 ハーデスエリシオン編,C6890,6,2008-03-07,2008-08-01
C11890,屍 姫 玄,C3411,12,2009-01-01,2009-03-26
C11892,アキカン!,C3480,12,2009-01-04,2009-03-29
C11894,WHITE ALBUM[第1期],C3481,13,2009-01-04,2009-03-29
C11896,まりあ†ほりっく,C3482,12,2009-01-08,2009-03-26
C11898,VIPER'S CREED,C3483,13,2008-12-30,2009-03-24
C11900,はじめの 一歩 THE FIGHTING! NewChallenger,C2406,26,2009-01-07,2009-07-01
C11902,明日のよいち!,C3484,12,2009-01-09,2009-03-27
C11904,黒神The Animation,C3485,24,2009-01-09,2009-06-19
C11906,THE ANIMATIONドルアーガの塔the Sword of URUK,C3355,12,2009-01-09,2009-03-27
C11908,クプ～!!まめゴマ!,C3486,51,2009-01-10,2009-12-26
C11910,エグザムライ戦国,C3314,25,2009-01-11,2009-06-25
C11912,スレイヤーズEVOLUTION-R,C1751,13,2009-01-12,2009-04-06
C11914,源氏物語千年紀Genji,C3487,11,2009-01-16,2009-03-27
C11916,マリア様がみてる[第4期],C2828,13,2009-01-03,2009-03-28
C11918,みなみけおかえり,C3265,13,2009-01-05,2009-03-30
C11920,続夏目友人帳,C3392,13,2009-01-06,2009-03-31
C11922,宇宙[そら]をかける少女,C3488,26,2009-01-06,2009-06-30
C11924,獣の奏者 エリン,C3491,60,2009-01-10,2010-03-13
C11926,鉄腕バーディーDECODE:02,C1951,13,2009-01-01,2009-03-28
C11928,鋼殻のレギオス,C3492,24,2009-01-11,2009-06-21
C11930,RIDEBACK,C3493,12,2009-01-12,2009-03-30
C11932,空を見上げる少女の瞳に映る世界,C2792,9,2009-01-14,2009-03-11
C11934,フレッシュプリキュア!,C2833,50,2009-02-01,2010-01-31
C11936,金色のコルダsecondo passo,C3890,2,2009-03-27,2009-06-05
C11938,クッキンアイドルアイ!マイ!まいん!,C3495,80,2009-03-30,2010-03-12
C11940,チーズスイートホームあたらしいおうち,C3338,104,2009-03-30,2009-09-24
C11944,マリー＆ガリー,C4340,40,2009-03-28,2010-03-23
C11948,キャラディのジョ～クな毎日,C3498,397,2009-04-01,2010-03-31
C11950,QUEEN'S BLADE 流浪の戦士,C3499,12,2009-04-02,2009-06-18
C11952,涼宮ハルヒの憂鬱[第2期],C3820,14,2009-05-22,2009-09-11
C11954,ヒゲぴよ,C3500,39,2009-04-03,2010-02-19
C11955,こんにちは アン before green gables,C4390,39,2009-04-05,2009-12-27
C11957,咲Saki,C3502,25,2009-04-06,2009-09-28
C11959,ティアーズ・トゥ・ティアラ,C3503,26,2009-04-06,2009-09-28
C11963,SUGAR BUNNIES フルール,C3163,26,2009-04-07,2009-09-29
C11965,07-GHOST,C3505,25,2009-04-07,2009-09-22
C11969,毎日かあさん,C3509,142,2009-04-01,2012-03-25
C11971,アスラクライン,C3510,13,2009-04-02,2009-06-25
C11973,アラド戦記スラップアップパーティー,C3517,26,2009-04-04,2009-09-26
C11975,極上!! めちゃモテ 委員長,C3518,53,2009-04-04,2010-04-10
C11976,QUEEN'S BLADE 玉座を継ぐ者,C3499,12,2009-09-24,2009-12-10
C11978,バトルスピリッツ 少年激覇ダン,C3397,50,2009-09-13,2010-09-05
C11983,爆丸 バトルブローラーズ ニューヴェストロイア,C3185,54,2010-03-02,2011-03-05
C11988,デジモン クロスウォーズ,C2231,30,2010-07-06,2011-03-08
C11990,ぬらりひょんの孫,C3681,25,2010-07-06,2010-12-21
C11992,Hello Kitty りんごの森のファンタジー,C7132,13,2006-04-04,2006-09-19
C11994,アニメ 冬のソナタ,C3561,27,2009-10-03,2010-05-01
C11996,ひだまりスケッチ×365[特別編],C3146,4,2009-10-18,2009-10-25
C11998,まほろまてぃっくAutomatic Maidenただいま◇おかえり,C2527,2,2009-10-18,2009-10-25
C12000,アスラ クライン 2,C3510,13,2009-10-01,2009-12-24
C12002,マリー ＆ ガリー Ver[ばーじょん].2.0,C4340,32,2010-03-30,2011-11-29
C12004,一騎当千 XTREME XECUTOR,C2743,12,2010-03-26,2010-06-11
C12005,セキレイ Pure Engagement,C3388,12,2010-07-11,2010-09-26
C12007,世紀末 オカルト学院,C3680,13,2010-07-06,2010-09-28
C12009,真マジンガー衝撃! Z編on television,C2678,26,2009-04-05,2009-09-26
C12013,GUIN SAGA,C3519,26,2009-04-05,2009-09-27
C12015,クロス×ゲーム,C3520,50,2009-04-05,2010-03-28
C12017,ジュエルペット,C3521,52,2009-04-05,2010-03-28
C12019,神曲奏界ポリフォニカcrimson S,C3182,12,2009-04-05,2009-06-21
C12021,戦場のヴァルキュリアVALKYRIA・CHRONICLES,C3522,26,2009-04-05,2009-09-27
C12023,DRAGON BALL KAI,C6852,97,2009-04-05,2011-03-27
C12025,鋼の錬金術師 FULLMETAL ALCHEMIST,C2768,65,2009-04-05,2010-07-04
C12027,花咲ける 青少年,C3524,45,2009-04-05,2010-03-14
C12029,メタルファイトベイブレード,C2454,51,2009-04-05,2010-03-28
C12031,シャングリ・ラ,C3525,24,2009-04-06,2009-09-14
C12033,タユタマkissonmyDeity,C3526,12,2009-04-06,2009-06-22
C12035,夏のあらし!,C3527,13,2009-04-06,2009-06-29
C12037,蒼天航路,C3528,26,2009-04-08,2009-09-30
C12039,うんこさん,C3529,13,2009-04-27,2009-07-20
C12043,ヴァイス・サヴァイヴ,C3530,16,2009-06-06,2009-09-26
C12045,うみものがたり～あなたがいてくれたコト～,C3531,12,2009-06-25,2009-09-17
C12047,ファイト一発!充電ちゃん!!,C3532,12,2009-06-25,2009-09-10
C12049,青い花 Sweet Blue Flowers,C3535,11,2009-07-02,2009-09-10
C12051,NEEDLESS,C3536,23,2009-07-03,2009-12-11
C12053,【懺・】さよなら絶望先生,C3224,13,2009-07-05,2009-09-27
C12055,プリンセスラバー!,C3537,12,2009-07-06,2009-09-21
C12057,GA 芸術科アートデザインクラス,C3538,12,2009-07-07,2009-09-22
C12059,狼と香辛料Ⅱ,C3330,12,2009-07-09,2009-09-24
C12061,よくわかる現代魔法,C3539,13,2009-07-05,2009-09-27
C12063,うみねこのなく頃に,C3540,26,2009-07-02,2009-12-24
C12065,大正野球娘。,C3541,12,2009-07-03,2009-09-25
C12067,化物語,C3542,13,2009-07-03,2009-09-25
C12069,エレメントハンター,C3543,39,2009-07-04,2010-03-27
C12071,CANAAN,C3603,13,2009-07-04,2009-09-26
C12072,アニメ くるねこ[第1期],C3544,50,2009-07-05,2010-06-26
C12074,かなめも,C3546,13,2009-07-06,2009-09-28
C12076,宙[そら]のまにまに,C3547,12,2009-07-07,2009-09-22
C12078,東京マグニチュード8.0,C3548,12,2009-07-03,2009-09-18
C12082,炬燵猫,C3555,26,2009-10-03,2010-03-27
C12084,しゅご キャラ!!! どっきどきっ,C3258,25,2009-10-03,2010-03-27
C12086,しゅご キャラ! ぷっち ぷち,C3258,25,2009-10-03,2010-03-27
C12089,空中ブランコ,C3560,11,2009-10-16,2009-12-25
C12090,けんぷファー,C3562,12,2009-10-02,2009-12-18
C12092,戦う司書 The Book of Bantorra,C3563,28,2009-09-25,2010-04-02
C12094,にゃんこい!,C3564,12,2009-10-02,2009-12-18
C12096,生徒会の一存 碧陽学園生徒会議事録,C3565,12,2009-10-03,2009-12-19
C12098,テガミバチ,C3566,25,2009-10-03,2010-03-27
C12100,とある科学の 超電磁砲[レールガン],C3424,24,2009-10-05,2010-03-22
C12102,犬夜叉 完結編,C2413,26,2009-10-06,2010-03-30
C12104,夢色 パティシエール,C3568,50,2009-10-04,2010-09-27
C12106,あにゃまる探偵 キルミン ずぅ,C3569,50,2009-10-05,2010-09-20
C12108,真 恋姫†無双,C3385,12,2009-10-05,2009-12-21
C12110,夏のあらし! 春夏冬中[あきないちゅう],C3527,13,2009-10-05,2009-12-28
C12112,ミラクル☆トレイン～大江戸線へようこそ～,C3570,13,2009-10-05,2009-12-28
C12114,こばと。,C3571,24,2009-10-06,2010-03-23
C12116,乃木坂春香の 秘密 ぴゅあ れっつぁ♪,C3393,12,2009-10-06,2009-12-22
C12118,11eyes,C3572,12,2009-10-07,2009-12-23
C12120,君に届け,C3573,25,2009-10-07,2010-03-31
C12122,秘密結社鷹の爪カウントダウン,C4246,11,2009-10-07,2009-12-23
C12124,ささめきこと,C3574,13,2009-10-08,2009-12-31
C12126,ご姉弟物語,C3575,32,2009-10-10,2010-06-26
C12128,青い文学,C3576,12,2009-10-11,2009-12-27
C12130,たまごっち!,C2038,144,2009-10-12,2012-09-03
C12132,FAIRY TAIL,C3577,175,2009-10-12,2013-03-30
C12134,怪談レストラン,C3579,23,2009-10-13,2010-06-08
C12135,Disney スティッチ! いたずらエイリアンの大冒険,,29,2009-10-13,2010-06-29
C12137,KIDDY GIRL-AND,C2648,24,2009-10-16,2010-03-26
C12141,ヴァイス* サヴァイヴR,C3530,12,2009-12-05,2010-03-20
C12143,ハヤテのごとく!!Hayate the combat batler2nd season,C3171,25,2009-04-04,2009-09-19
C12144,COBRA THE ANIMATION,C6078,13,2010-01-02,2010-03-27
C12146,ちゅーぶら!!,C3626,12,2010-01-04,2010-03-22
C12150,れでぃ×ぱと! Ladies versus Butlers!,C3627,12,2010-01-05,2010-03-23
C12152,怪盗レーニャ,C3628,12,2010-01-09,2010-03-27
C12156,のだめカンタービレ　フィナーレ,C3145,12,2010-01-08,2010-03-26
C12158,ソ・ラ・ノ・ヲ・ト,C3629,12,2010-01-05,2010-03-23
C12160,増田こうすけ劇場 ギャグ マンガ 日和 +[プラス],C4173,13,2010-01-10,2010-07-11
C12162,おまもりひまり,C3630,12,2010-01-07,2010-03-25
C12164,ダンス イン ザ ヴァンパイアバンド,C3631,13,2010-01-07,2010-04-01
C12166,バカとテスト と召喚獣,C3632,13,2010-01-07,2010-04-01
C12168,おおかみかくし,C3633,12,2010-01-08,2010-03-26
C12170,デュラララ!!,C3635,24,2010-01-08,2010-06-25
C12172,ひだまり スケッチ × ☆☆☆[ほしみっつ],C3146,12,2010-01-08,2010-03-25
C12174,聖痕の クェイサー,C3636,24,2010-01-10,2010-06-20
C12176,フラカッパー,C3830,104,2006-04-04,2006-12-21
C12178,エア・ギア,C3831,25,2006-04-05,2006-09-27
C12179,祝福のカンパネラ,C3677,12,2010-07-05,2010-09-20
C12181,生徒会 役員共,C3679,13,2010-07-04,2010-09-26
C12183,屍鬼,C3682,22,2010-07-09,2010-12-31
C12185,戦国 BASARA弐,C3511,12,2010-07-11,2010-09-26
C12189,あまえ ないでよっ!! 喝!!,C3028,13,2006-01-04,2006-06-21
C12191,鍵姫物語永久アリス輪舞曲［ロンド］,C3794,13,2006-01-04,2006-03-29
C12193,マジカノ,C3795,13,2006-01-01,2006-04-01
C12196,NANA,C3836,55,2006-04-05,2007-03-29
C12198,桜蘭高校ホスト部,C3832,26,2006-04-05,2006-09-27
C12201,はなかっぱ,C3640,75,2010-03-29,2010-12-10
C12203,リトル・チャロ2 英語に恋する物語,C3339,37,2010-03-06,2010-11-30
C12205,真 恋姫†無双 ～乙女大乱～,C3385,12,2010-03-26,2010-06-17
C12209,B型H系,C3644,12,2010-04-05,2010-06-21
C12211,リングにかけろ 1 影道編[SHADOW],C2907,6,2010-04-02,2010-06-04
C12213,Angel Beats!,C3646,13,2010-04-03,2010-06-26
C12215,ジュエルペット　てぃんくる☆,C3521,52,2010-04-03,2011-04-02
C12217,デュエル・マスターズ クロス ショック,C2650,51,2010-04-03,2011-04-17
C12221,GIANT KILLING,C3648,26,2010-04-04,2010-09-26
C12223,ひめ チェン! おとぎちっくアイドル リルぷりっ,C3649,51,2010-04-04,2011-03-27
C12225,Kiss × sis,C3650,12,2010-04-05,2010-06-21
C12227,しまじろう ヘソカ,C1497,105,2010-04-05,2012-03-26
C12231,まじっく快斗 KID THE PHANTOM THIEF 第1話 「蘇る怪盗」,C1849,1,2010-04-17,2010-04-17
C12233,HEROMAN,C3651,26,2010-04-01,2010-09-23
C12235,おおきく 振りかぶって ～夏の大会編～,C3202,13,2010-04-02,2010-06-25
C12237,会長は メイド様!,C3652,26,2010-04-02,2010-09-24
C12239,いちばんうしろの 大魔王,C3653,12,2010-04-05,2010-06-21
C12241,SD ガンダム 三国伝 Brave Battle Warriors,C7130,51,2010-04-03,2011-03-26
C12243,極上!! めちゃモテ 委員長 Second Collection,C3518,51,2010-04-03,2011-04-10
C12245,薄桜鬼 新選組 奇譚,C3654,12,2010-04-08,2010-06-24
C12247,メタルファイト ベイブレード 爆,C2454,51,2010-04-04,2011-03-27
C12249,WORKING!!,C3655,12,2010-04-13,2010-06-29
C12251,荒川アンダー ザ ブリッジ,C3657,13,2010-04-05,2010-06-28
C12253,閃光のナイトレイド,C3658,14,2010-03-30,2010-06-29
C12255,迷い猫 オーバーラン!,C3659,13,2010-04-06,2010-06-29
C12257,けいおん!!,C3513,26,2010-04-07,2010-09-29
C12259,RAINBOW 二舎六房の七人,C3660,26,2010-04-07,2010-09-29
C12261,裏切りは 僕の名前を知っている,C3661,24,2010-04-12,2010-09-20
C12263,さらい屋 五葉,C3662,13,2010-04-16,2010-07-02
C12265,四畳半神話大系,C3663,11,2010-04-23,2010-07-02
C12267,オオカミさんと 七人の仲間たち,C3670,12,2010-07-01,2010-09-16
C12269,黒執事Ⅱ,C3416,12,2010-07-02,2010-09-17
C12271,みつ どもえ,C3671,13,2010-07-05,2010-09-27
C12273,学園黙示録 HIGH SCHOOL OF THE DEAD,C3672,12,2010-07-05,2010-09-20
C12275,女子高生 “GIRL'S-HIGH”,C3828,12,2006-04-04,2006-06-20
C12277,Strawberry Panic,C3829,26,2006-04-04,2006-09-26
C12279,ガラスの艦隊 La legende du vent de l'univers,C3833,26,2006-04-07,2006-09-22
C12282,TOKKÔ 特公,C3861,15,2006-03-25,2006-07-30
C12284,もっと兼本さん宅,C4160,16,2006-05-05,2006-08-18
C12286,TAMA＆FRIENDS 探せ! 魔法のプニプニストーン,C7094,26,2006-05-06,2006-11-04
C12288,機神咆吼デモンベイン,C3862,12,2006-05-19,2006-08-18
C12290,神様家族,C3863,13,2006-05-18,2006-08-10
C12292,蛙男劇場,C3843,59,2006-06-17,2009-03-28
C12295,DiSNEY スティッチ! ずっと最高のトモダチ,C3429,29,2010-07-06,2011-03-08
C12297,ストライク ウィッチーズ2,C3289,12,2010-07-08,2010-09-23
C12299,あそびに いくヨ!,C3673,12,2010-07-13,2010-09-28
C12301,アマガミ SS,C3675,25,2010-07-02,2010-12-24
C12303,伝説の勇者の伝説,C3676,25,2010-07-02,2010-12-17
C12305,キン肉マンⅡ世 ULTIMATE MUSCLE 2,C6466,13,2006-01-05,2006-03-30
C12307,落語天女おゆい,C3796,12,2006-01-06,2006-03-24
C12309,Fate/stay night,C3797,24,2006-01-07,2006-06-17
C12311,LEMON ANGEL PROJECT,C6869,13,2006-01-07,2006-04-01
C12313,ワンワンセレプー それゆけ! 徹之進,C3798,51,2006-01-07,2006-12-30
C12315,陰からマモル!,C3799,12,2006-01-08,2006-03-26
C12317,タクティカルロア,C3801,13,2006-01-08,2006-04-02
C12319,爆球HIT! クラッシュビーダマン,C2217,50,2006-01-09,2006-12-25
C12321,よみがえる空 ──RESCUE WINGS,C3802,13,2006-01-09,2006-03-27
C12323,おろしたてミュージカル 練馬大根ブラザーズ,C3803,12,2006-01-10,2006-03-28
C12325,プレイボール 2nd,C3040,13,2006-01-10,2006-03-28
C12327,Funny Pets [第1期],C3804,12,2006-01-11,2006-03-29
C12329,かしまし ～ガール・ミーツ・ガール～,C3805,12,2006-01-12,2006-03-30
C12331,怪 ～ayakashi～ JAPANESE CLASSIC HORROR,C3806,11,2006-01-13,2006-03-24
C12333,半分の月がのぼる空,C3807,6,2006-01-13,2006-02-24
C12335,お茶犬 ～「ほっ」とものがたり～,C2759,13,2006-01-16,2006-04-10
C12337,吟遊黙示録マイネリーベ wieder,C2935,13,2006-01-22,2006-04-16
C12339,Kin-Qキッズ ★ おたすK隊,C3808,12,2006-02-01,2006-04-19
C12341,びんちょうタン,C3809,12,2006-02-03,2006-04-16
C12343,REC,C3810,10,2006-02-03,2006-06-30
C12345,ふたりは プリキュアSplash★Star,C2833,49,2006-02-05,2007-01-28
C12347,パピヨンローゼ New Season,C2804,6,2006-02-10,2006-03-17
C12349,Ergo Proxy,C3812,25,2006-01-07,2006-08-12
C12351,しにがみのバラッド。 Momo the girl god of death,C3813,6,2006-03-03,2006-04-07
C12355,学園ヘヴン BOY'S LOVE HYPER!,C3815,13,2006-04-01,2006-06-24
C12357,ふしぎ星の★ふたご姫 Gyu!,C3007,52,2006-04-01,2007-03-31
C12359,ぽかぽか森のラスカル,C3778,52,2006-04-01,2007-03-25
C12361,妖怪人間ベム［新］,C3816,26,2006-04-01,2006-10-07
C12363,おねがいマイメロディ くるくるシャッフル!,C7133,52,2006-04-02,2007-03-25
C12365,格闘美神 武龍[ウーロン] REBIRTH,C3055,25,2006-04-02,2006-10-01
C12367,牙 TV ANIMATION SERIES,C3817,51,2006-04-02,2007-03-25
C12369,Soul Link,C3818,13,2006-04-05,2006-06-29
C12371,デジモンセイバーズ,C2231,48,2006-04-02,2007-03-25
C12373,吉永さん家のガーゴイル,C3819,13,2006-04-02,2006-06-25
C12375,アクビ Girl,C1956,26,2006-04-02,2006-09-11
C12377,ARIA The NATURAL,C3063,30,2006-04-03,2006-09-25
C12379,School Rumble 二学期,C2917,26,2006-04-03,2006-09-25
C12381,涼宮ハルヒの憂鬱,C3820,14,2006-04-03,2006-07-03
C12383,ぜんまいざむらい,C3821,176,2006-04-03,2009-02-06
C12385,GEKIFU 妖逆門,C3824,51,2006-04-03,2007-03-26
C12387,味楽る! ミミカ [第1期],C3825,15,2006-04-07,2007-02-09
C12389,うたわれるもの,C3826,26,2006-04-04,2006-09-26
C12391,銀魂,C3079,201,2006-04-04,2010-03-25
C12393,SIMOUN,C3827,26,2006-04-04,2006-09-26
C12394,スパイダーライダーズ オラクルの勇者たち,C3835,26,2006-04-05,2006-09-27
C12396,とっとこ ハム太郎 は～い!,C2341,78,2006-04-05,2008-03-26
C12398,ひぐらしのなく頃に,C3837,26,2006-04-05,2006-09-27
C12400,恋する天使 アンジェリーク ～心のめざめる時～,C2427,13,2006-07-08,2006-09-30
C12402,となグラ!,C3877,13,2006-07-09,2006-10-01
C12404,家庭教師* ヒットマン REBORN! *［かてきょー］,C3914,198,2006-10-07,2010-09-25
C12406,くじびき❤アンバランス,C2929,12,2006-10-07,2006-12-23
C12408,サルゲッチュ ～オンエアー～ 2nd,C4182,51,2006-10-07,2007-09-29
C12410,地獄少女 二籠[ふたこもり],C3061,26,2006-10-07,2007-04-07
C12412,天保異聞 妖奇士,C3916,27,2006-09-30,2007-03-31
C12414,ぷるるんっ! しずくちゃん,C3917,51,2006-10-07,2007-09-29
C12416,流星のロックマン,C2583,56,2006-10-07,2007-10-27
C12419,キティズパラダイス,C7132,39,1999-01-05,1999-09-28
C12421,だんご3兄弟 あっという間劇場,C4135,77,1999-12-06,2003-03-03
C12423,ムーぽん[第2期],C2244,23,2000-04-01,2000-10-21
C12427,おじゃる丸［第3期］,C2158,90,2000-04-03,2000-12-01
C12428,魔界戦記 ディスガイア,C3838,12,2006-04-05,2006-06-21
C12430,ラブゲッCHU❤ ミラクル声優白書,C3839,26,2006-04-05,2006-09-27
C12432,錬金3級 まじかる? ぽか～ん,C3840,24,2006-04-05,2006-06-21
C12434,いぬかみっ!,C3841,26,2006-04-06,2006-09-28
C12436,WITCHBLADE,C3842,24,2006-04-06,2006-09-21
C12438,ゼーガペイン,C3844,26,2006-04-06,2006-09-28
C12440,.hack//Roots,C2690,26,2006-04-06,2006-09-28
C12442,プリンセス・プリンセス,C3846,12,2006-04-06,2006-06-22
C12444,吉宗,C3847,24,2006-04-06,2006-09-14
C12446,RAY THE ANIMATION,C3848,14,2005-12-28,2006-06-29
C12448,ああっ女神さまっ それぞれの翼,C1507,24,2006-04-07,2006-09-29
C12450,きらりん☆ レボリューション,C3849,102,2006-04-07,2008-03-28
C12452,しばわんこの和のこころ,C3850,73,2006-04-07,2007-03-16
C12454,xxxHOLiC,C3049,24,2006-04-07,2006-09-29
C12456,リングにかけろ1 -日米決戦編-,C2907,12,2006-04-07,2006-06-23
C12458,彩雲国物語,C3851,42,2006-04-08,2007-02-24
C12460,サルゲッチュ ～オンエアー～,C4182,26,2006-04-08,2006-09-30
C12462,西の善き魔女 Astrea Testament,C3852,13,2006-04-08,2006-07-01
C12464,ロックマンエグゼBEAST+,C2583,26,2006-04-08,2006-09-30
C12466,ひまわりっ!,C3853,13,2006-04-09,2006-07-02
C12468,BLACK LAGOON,C3854,12,2006-04-09,2006-06-25
C12470,GUN道 MUSASHI,C3855,30,2006-04-09,2006-10-29
C12472,夢使い,C3857,12,2006-04-09,2006-06-25
C12474,新星輝デュエル・マスターズ フラッシュ,C2650,24,2006-04-10,2007-03-19
C12476,ブラック.ジャック21,C1562,19,2006-04-10,2006-09-04
C12478,砂沙美☆魔法少女クラブ,C1430,13,2006-04-13,2006-07-13
C12480,姫様ご用心,C3858,12,2006-04-13,2006-07-20
C12482,ザ・サード 蒼い瞳の少女,C3859,24,2006-04-14,2006-10-27
C12484,獣王星,C3860,11,2006-04-14,2006-06-23
C12485,ハチミツとクローバーⅡ,C3018,12,2006-06-30,2006-09-15
C12487,貧乏姉妹物語,C3864,10,2006-06-30,2006-09-15
C12489,おとぎ銃士 赤ずきん,C3865,39,2006-07-01,2007-03-31
C12491,出ましたっ! パワパフガールズZ,C3866,52,2006-07-01,2006-12-23
C12493,Kanon［新］,C2579,24,2006-10-06,2007-03-16
C12495,Gift -eternal rainbow-,C3907,12,2006-10-06,2006-12-22
C12497,銀色のオリンシス TOKITO,C3908,12,2006-10-06,2006-12-22
C12499,コードギアス 反逆のルルーシュ,C3909,28,2006-09-30,2007-07-29
C12501,すもももももも ～地上最強のヨメ～,C3910,22,2006-10-06,2007-03-16
C12503,009-1,C1234,12,2006-10-06,2006-12-22
C12505,はぴねす! It's a happy ＆ heartful school life.,C3912,13,2006-10-06,2006-12-28
C12507,護くんに女神の祝福を!,C3913,24,2006-10-06,2007-03-30
C12508,乙女はお姉さま［ボク］に恋してる,C3918,12,2006-10-08,2006-12-24
C12509,祝［ハピ★ラキ］ビックリマン,C6958,46,2006-10-15,2007-09-30
C12511,結界師,C3923,54,2006-10-14,2008-02-12
C12512,つよきす Cool×Sweet,C3868,12,2006-07-02,2006-09-17
C12515,まもって! ロリポップ,C3870,13,2006-07-02,2006-09-24
C12517,ゼロの使い魔,C3871,13,2006-07-03,2006-09-25
C12519,和和和 ワッピちゃん,C3872,52,2006-07-03,2008-04-23
C12521,COYOTE Ragtime Show,C3873,12,2006-07-04,2006-09-19
C12523,僕等がいた,C3874,26,2006-07-04,2006-12-26
C12525,無敵看板娘,C3875,24,2006-07-25,2006-10-17
C12527,内閣権力犯罪強制取締官 財前丈太郎,C3876,11,2006-07-06,2006-09-21
C12530,史上最強の弟子 ケンイチ,C3919,50,2006-10-08,2007-09-29
C12532,けろけろけろっぴ はすのうえタウン危機一髪!,C1063,6,2006-10-10,2006-12-19
C12534,働きマン,C3920,12,2006-09-22,2006-12-22
C12536,Bartender,C3921,11,2006-10-15,2006-12-31
C12538,忍たま乱太郎[第7期],C1462,80,1999-04-05,1999-07-30
C12540,ぴりっとQ,C1762,68,2000-01-31,2001-06-06
C12545,N・H・Kにようこそ!,C3879,24,2006-07-10,2006-12-18
C12547,ちょこッとSister,C3880,24,2006-07-12,2006-12-20
C12549,iNNOCENT VENUS,C3881,12,2006-07-27,2006-10-26
C12551,NIGHT HEAD GENESIS,C3882,24,2006-07-29,2006-12-30
C12553,パッタ ポッタ モン太,C3883,44,2006-08-01,2006-12-26
C12555,増田こうすけ劇場 ギャグマンガ日和2,C4173,16,2006-08-05,2006-10-21
C12557,ケモノヅメ,C3884,14,2006-07-02,2006-11-05
C12559,HANOKA 葉ノ香,C3885,12,2006-08-08,2006-10-31
C12561,シュヴァリエ,C3886,25,2006-07-02,2007-02-24
C12563,BLACK BLOOD BROTHERS,C3887,12,2006-09-08,2006-11-24
